Data,Open,High,Low,Close
14/08/2023 11:30:00,119.380,119.545,119.365,119.540
14/08/2023 11:25:00,119.450,119.525,119.375,119.375
14/08/2023 11:20:00,119.520,119.555,119.430,119.445
14/08/2023 11:15:00,119.540,119.645,119.505,119.520
14/08/2023 11:10:00,119.445,119.590,119.395,119.540
14/08/2023 11:05:00,119.345,119.515,119.335,119.440
14/08/2023 11:00:00,119.420,119.435,119.255,119.345
14/08/2023 10:55:00,119.235,119.465,119.200,119.425
14/08/2023 10:50:00,119.195,119.390,119.190,119.230
14/08/2023 10:45:00,119.455,119.455,119.025,119.210
14/08/2023 10:40:00,119.480,119.560,119.405,119.460
14/08/2023 10:35:00,119.805,119.895,119.455,119.500
14/08/2023 10:30:00,119.880,119.970,119.660,119.800
14/08/2023 10:25:00,119.870,120.145,119.805,119.865
14/08/2023 10:20:00,120.090,120.130,119.820,119.860
14/08/2023 10:15:00,119.950,120.165,119.905,120.090
14/08/2023 10:10:00,119.995,120.125,119.830,119.950
14/08/2023 10:05:00,120.160,120.220,119.730,119.995
14/08/2023 10:00:00,120.080,120.285,120.065,120.155
14/08/2023 09:55:00,120.035,120.130,119.965,120.095
14/08/2023 09:50:00,119.985,120.060,119.960,120.035
14/08/2023 09:45:00,119.855,119.985,119.850,119.980
14/08/2023 09:40:00,119.765,119.885,119.765,119.850
14/08/2023 09:35:00,119.775,119.835,119.740,119.765
14/08/2023 09:30:00,119.795,119.820,119.635,119.775
14/08/2023 09:25:00,119.930,119.955,119.765,119.795
14/08/2023 09:20:00,119.850,120.030,119.835,119.935
14/08/2023 09:15:00,119.915,119.965,119.805,119.850
14/08/2023 09:10:00,119.840,119.920,119.755,119.915
14/08/2023 09:05:00,119.925,119.945,119.815,119.835
14/08/2023 09:00:00,120.550,120.900,119.890,119.930
11/08/2023 17:50:00,120.550,120.560,120.500,120.500
11/08/2023 17:45:00,120.560,120.560,120.505,120.540
11/08/2023 17:40:00,120.525,120.575,120.520,120.570
11/08/2023 17:35:00,120.475,120.545,120.475,120.520
11/08/2023 17:30:00,120.455,120.485,120.455,120.485
11/08/2023 17:25:00,120.465,120.475,120.400,120.450
11/08/2023 17:20:00,120.460,120.495,120.460,120.495
